Ca Number,Incident Type,Date/Time Occurred,Date/Time Reported,Location,Disposition
UM 24-239416,Bike Theft,08/23/2024 1730,8/24/24,1034 27th Ave ,Inactive
UM 24-240153,Recovered Property,08/24/2024 1039,8/24/24,300 Washington Ave ,Closed
UM 24-240388,Driving After Cancellation,08/24/2024 1557,8/24/24,Larpenteur Ave W / Cleveland Ave N,Closed
UM 24-240425,Warrant,08/24/2024 1640,8/24/24,225 19th Ave S,Closed
UM 24-240451,Hit/Run Property Damage,08/24/2024 1630,8/24/24,1395 Gortner Ave,Inactive
UM 24-240642,Driving After Revocation,08/24/2024 2012,8/24/24,4th St  / 16th Ave ,Closed
UM 24-240695,Driving After Revocation,08/24/2024 2113,8/24/24,1400 4th St ,Closed
UM 24-240700,Miscellaneous,08/24/2024 2115,8/24/24,1400 Blk 4th St ,Closed
UM 24-238908,Recovered Property,08/22/2024 1900,8/23/24,314 10th Ave ,Closed
UM 24-238917,Warrant,08/23/2024 0931,8/23/24,1 Washington Ave ,Arrest
UM 24-239328,Obstruct Legal Process / U of Force,08/23/2024 1651,8/23/24,615 Washington Ave ,
UM 24-239450,Recovered Property,08/23/2024 1800,8/23/24,505 Washington Ave ,Closed
UM 24-239481,Trespass,08/23/2024 1900,8/23/24,123 Harvard St ,Closed
UM 24-239787,Driving Aafter Suspension,08/23/2024 2332,8/23/24,1400 Blk 4th St ,Closed
UM 24-238777,Driving After Revocation,08/23/2024 0230,8/23/24,15th Ave  / 8th St ,Closed
UM 24-238418,Auto Theft,08/22/2024 1030,8/22/24,2301 6th St ,
UM 24-237970,Replica Firearms / Warrant,08/22/2024 0903,8/22/24,1813 Riverside Ave,
UM 24-238154,Damage to Property / Posssion of Burglary Tools / Warrant,08/22/2024 1257,8/22/24,178 Pillsbury Dr ,
UM 24-238425,Auto Theft / Flee Officer on Foot / Obstruct Legal Process,08/22/2024 1753,8/22/24,401 Oak St ,
UM 24-238462,Squad Accident,08/22/2024 1840,8/22/24,401 Oak St ,Closed
UM 24-237818,Non-Vehicular Accident,08/22/2024 0031,8/22/24,515 Delaware St ,Closed
UM 24-237674,Theft,08/21/2024 1700,8/21/24,222 Pleasant St ,Inactive
UM 24-229874,Miscellaneous,08/14/2024 2304,8/21/24,19th Ave S / 2nd St S,Closed
UM 24-236677,Driving After Revocation,08/20/2024 2314,8/21/24,16th Ave  / 4th ST ,Closed
UM 24-236965,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,08/21/2024 0922,8/21/24,Huron Blvd  / Fulton St ,Closed
UM 24-237009,Bike Theft,08/20/2024 0800,8/21/24,614 Delaware St ,Inactive
UM 24-237019,Recovered Vehicle,08/21/2024 1026,8/21/24,13th Ave  / Brook Ave ,Closed
UM 24-237308,Non-Vehicular Accident,08/21/2024 1529,8/21/24,56 E River Road,Closed
UM 24-237440,Other Vehicle Theft,08/21/2024 0600,8/21/24,311 11th Ave ,Inactive
UM 24-237696,No Valid Drivers Licen,08/21/2024 2155,8/21/24,Oak St  / 4th St ,Closed
UM 24-236247,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,08/20/2024 1612,8/20/24,Huron Blvd  / Delaware St,Closed
UM 24-236098,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,08/20/2024 1415,8/20/24,15th Ave  / Como Ave ,Closed
UM 24-234323,Driving After Revocation,08/18/2024 2350,8/19/24,17th Ave  / Como Ave ,Closed
UM 24-234587,No Valid Drivers Licen,08/19/2024 0926,8/19/24,Beacon St  / Walnut St ,Closed
UM 24-234777,Miscellaneous,08/15/2024 1700,8/19/24,1198 Ray Place,Closed
UM 24-234828,No Valid Drivers Licen / No Insurance on,08/19/2024 1310,8/19/24,27th Ave  / Delaware St ,Closed
,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,,,,
UM 24-234854,Miscellaneous,08/13/2024 1829,8/19/24,1745 Cleveland Ave N,Closed
UM 24-234930,Miscellaneous,08/19/2024 1430,8/19/24,Huron Blvd  / Esx St ,Closed
UM 24-235026,Driving After Revocation / No Insurance on,08/19/2024 1553,8/19/24,1926 University Ave ,Closed
,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,,,,
UM 24-235221,Traffice Law Enforcement / U of Force,08/19/2024 1845,8/19/24,Oak St  / Washington Ave,Closed
UM 24-235295,Warrant,08/19/2024 2029,8/19/24,Lower Heating Plant Road,Closed
UM 24-235343,Theft,08/19/2024 2115,8/19/24,210 Delaware St ,
UM 24-235348,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/19/2024 2118,8/19/24,4th St  / 10th Ave ,Closed
UM 24-235377,Illegal Posssion of Handgun / Warrant,08/19/2024 2145,8/19/24,312 Church St ,
UM 24-234314,Driving After Suspension,08/18/2024 2336,8/18/24,Pillsbury Dr  / Pleasant St,Closed
UM 24-233271,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/18/2024 0016,8/18/24,4th St  / 10th Ave ,Closed
UM 24-233699,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/18/2024 1226,8/18/24,3rd St S / Cedar Ave S to Washington Ave,Closed
UM 24-233708,Warrant,08/18/2024 1241,8/18/24,521 Cedar Ave S,Arrest
UM 24-233923,Driving After Revocation,08/18/2024 1636,8/18/24,Washington Ave  / Church St,Closed
UM 24-232148,DWI / Violation of Protection Order,08/17/2024 0020,8/17/24,13th Ave  / 6th St ,
UM 24-232214,Consumption-Liquor by Minor / Disorderly Conduct,08/17/2024 0130,8/17/24,1319 4th St ,Closed
UM 24-232518,Warrant,08/17/2024 1113,8/17/24,2001 Bloomington Ave,Closed
UM 24-232551,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Damage to Motor Vehicle,08/16/2024 2244,8/17/24,401 Oak St ,
UM 24-232623,Health Welfare Hold,08/17/2024 1320,8/17/24,224 Church St ,Closed
UM 24-232684,Trespass / Crisis Intervention,08/17/2024 1416,8/17/24,1222 4th St ,Closed
UM 24-232780,Warrant / Recovered Gun,08/17/2024 1627,8/17/24,5th St  / 15th Ave ,Arrest
UM 24-232975,Robbery of Person,08/17/2024 1936,8/17/24,1395 Gortner Ave,
UM 24-233012,Carry a Weapon Without a Permit / Warrant,08/17/2024 2008,8/17/24,5th St  / 13th Ave ,
UM 24-233063,Driving After Revocation,08/17/2024 2110,8/17/24,4th St  / 15th Ave ,Closed
UM 24-231355,Trespass,08/16/2024 1105,8/16/24,2001 Bloomington Ave,Closed
UM 24-232015,No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / Driving After Revocation,08/16/2024 2218,8/16/24,17th Ave  / University Ave,Closed
MP 24-220792,Indecent Exposure,8/6/24 22:00,8/16/24,329 Cedar Ave S,Reported
MP 24-711010,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,7/10/24 18:30,8/16/24,21st Ave S & Riverside Ave S,Reported
MP 24-224152,Assault,7/9/24 21:21,8/16/24,2312 6th St S,Reported
MP 24-710737,Other Theft,8/5/24 23:00,8/16/24,Oak St  & Washington Ave,Reported
MP 24-711264,Hit and Run-Property Damage,8/14/24 16:05,8/16/24,4th St  & 11th Ave ,Reported
UM 24-230796,Cancelled IPS / No Valid Driver's Licen,08/15/2024 2019,8/16/24,1923 University Ave ,
UM 24-230897,Driving While Intoxicated,08/15/2024 2219,8/16/24,27th Ave  / Esx St ,Arrest
UM 24-231034,Reckless Driving,08/16/2024 0107,8/16/24,Washington Ave S / Cedar Ave,Closed
UM 24-230143,Burglary of Dwelling / Identity Theft / Trespass,08/15/2024 0916,8/15/24,1721 University Ave ,
UM 24-230256,Theft by Swindle,08/05/2024 1200,8/15/24,505 Washington Ave ,Closed
UM 24-230443,Trespass,08/15/2024 1440,8/15/24,615 Washington Ave ,Closed
UM 24-230936,No Valid Driver's Licen,08/15/2024 2301,8/15/24,Walnut St  / Beacon St ,Closed
UM 24-228964,Theft,08/14/2024 0425,8/14/24,1 Washington Ave ,
UM 24-228991,Burglary of Business,08/13/2024 1530,8/14/24,229 19th Ave S,Inactive
UM 24-229055,Driving After Revocation,08/14/2024 0817,8/14/24,University Ave  / 30th Ave,Closed
UM 24-229299,Trespass,08/14/2024 1301,8/14/24,390 29th Ave ,Closed
UM 24-229690,Driving After Revocation / Speeding,08/14/2024 1922,8/14/24,1100 Como Ave ,Active
UM 24-227958,Recovered Vehicle,08/13/2024 0908,8/13/24,19th Ave  / Como Ave ,Jurisdiction Transfer
UM 24-227983,Mysterious Disappearance,08/11/2024 0800,8/13/24,614 Delaware St ,Closed
UM 24-228302,No Valid Driver's Licen,08/13/2024 1438,8/13/24,Malcolm Ave  / University Ave,Closed
UM 24-228365,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/11/2024 1600,8/13/24,1017 29th Ave ,
UM 24-228393,Warrant,08/13/2024 1601,8/13/24,1812 6th ST S,Arrest
UM 24-228410,Miscellaneous,08/12/2024 1200,8/13/24,505 Washington Ave ,Closed
UM 24-228414,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,08/13/2024 1622,8/13/24,1606 8th St ,Inactive
UM 24-228759,Assault on Police Officer / Warrant,08/13/2024 2152,8/13/24,2001 Bloomington Ave,
TC24-055,Stalking,Spring - Summer 2024,8/13/24,Minneapolis Campus,Reported
UM 24-227652,No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle / No Valid Driver's License,08/12/2024 2241,8/13/24,5th St  / 17th Ave ,Closed
UM 24-227676,Driving While Intoxicated,08/12/2024 2313,8/13/24,Washington Ave  / Harvard St,
UM 24-227337,Public Urination,08/12/2024 1734,8/12/24,5th St  / 13th Ave ,Closed
UM 24-227429,UReported Squad Accident,08/12/2024 1724,8/12/24,27th Ave  / Como Ave ,Closed
UM 24-225445,Cancelled IPS,08/10/2024 2248,8/11/24,4th St  / 14th Ave ,
UM 24-225967,Driving After Revocation,08/11/2024 1222,8/11/24,Washington Ave  / Church St,Closed
UM 24-226680,Miscellaneous,08/12/2024 0251,8/12/24,2407 University Ave ,Closed
UM 24-225046,No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/10/2024 1700,8/11/24,19th Ave S / 2nd St S,Closed
UM 24-225064,Driving After Revocation,08/10/2024 1715,8/11/24,19th Ave S / 3rd St S,Closed
UM 24-225208,Driving After Suspension,08/10/2024 1921,8/11/24,Harvard St  / Delaware St,Closed
UM 24-226500,Open Bottle in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/11/2024 2222,8/11/24,2115 5th St S,Closed
UM 24-226526,Driving After Revocation,08/11/2024 2251,8/11/24,15th Ave  / Como Ave ,Closed
UM 24-224436,Reckless Driving,08/10/2024 0208,8/10/24,University Ave  / 8th Ave ,Closed
UM 24-224620,Miscellaneous,08/10/2024 0912,8/10/24,2231 6th St ,Closed
UM 24-225098,Auto Theft,08/10/2024 1500,8/10/24,300 19th Ave S,
UM 24-224341,Traffice Law Enforcement,08/09/2024 2355,8/10/24,4th St  / 11th Ave ,Closed
UM 24-223496,Driving After Revocation,08/09/2024 1139,8/9/24,15th Ave  / 6th St ,Closed
UM 24-223279,Trespass / Obstruct Legal Process,08/09/2024 0707,8/9/24,2011 Buford Ave,
UM 24-223564,Bike Theft,08/08/2024 1643,8/9/24,505 Esx St ,Inactive
UM 24-223597,Theft from Building,08/01/2024 1500,8/9/24,321 Church St ,Inactive
UM 24-224121,Driving After Revocation,08/09/2024 2057,8/9/24,Stinson Blvd NE / Summer St,Closed
UM 24-224308,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/09/2024 2325,8/9/24,University Ave  / 15th Ave,
UM 24-222439,Driving After Revocation,08/08/2024 1342,8/8/24,Ontario St  / University Ave,Closed
TC24-054,Rape*,Spring 2020,8/9/24,On Campus Res Hall,Reported
UM 24-222905,Warrant / Driving After Cancellation,08/08/2024 2112,8/9/24,30th Ave  / University Ave,Arrest
UM 24-223225,Trespass,08/09/2024 0330,8/9/24,2515 University Ave ,Closed
UM 24-222144,Damage to Property Report,08/08/2024 0141,8/8/24,321 19th Ave S,
UM 24-222451,Theft,08/07/2024 2000,8/8/24,1980 Folwell Ave,Inactive
UM 24-222655,Warrant,08/08/2024 1651,8/8/24,615 Washington Ave ,Arrest
UM 24-222901,No Valid Driver's Licen,08/08/2024 2105,8/8/24,University Ave  / 25th Ave,Closed
UM 24-220875,Driving After Revocation,08/07/2024 0024,8/7/24,10th Ave  / 8th St ,Closed
UM 24-220988,Trespass,08/07/2024 0724,8/7/24,501 Washington Ave ,Closed
UM 24-221170,Recovered Property,08/07/2024 1100,8/7/24,2 3rd Ave ,Closed
UM 24-221326,Impound Abandoned Vehicle,08/07/2024 1330,8/7/24,Buford Ave / Eckles Ave,Closed
UM 24-221350,Hit / Run No Injury,08/07/2024 1330,8/7/24,615 Washington Ave ,Inactive
UM 24-221412,Trespass,08/07/2024 1453,8/7/24,313 14th Ave ,Closed
UM 24-221580,No Valid Driver's Licen / No Insurance on Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/07/2024 1721,8/7/24,5th St  / Oak St ,Closed
UM 24-221611,Recovered Property,08/07/2024 1756,8/7/24,SB I35W to University Ave ,Closed
UM 24-221729,Hit / Run Property Damage,08/07/2024 1415,8/7/24,East River Pkwy / Harvard St,
UM 24-221792,Cancelled IPS,08/07/2024 2056,8/7/24,Oak St  / Beacon St ,
UM 24-221832,Warrant,08/07/2024 2133,8/7/24,15th Ave  / University Ave,Arrest
UM 24-220573,Driving After Revocation,08/06/2024 1910,8/7/24,500 Harvard St ,Closed
UM 24-220880,Driving After Suspension,08/07/2024 0035,8/7/24,Johnson St NE / Broadway St,Closed
UM 24-219852,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/05/2024 1630,8/6/24,401 Oak St ,
UM 24-219882,Trespass,08/06/2024 0827,8/6/24,229 19th Ave S,Closed
UM 24-220269,Miscellaneous,08/06/2024 1443,8/6/24,1180 Gibbs Ave,
UM 24-220495,Warrant,08/06/2024 1813,8/6/24,Como Ave  / 29th Ave ,Arrest
UM 24-220796,Health Welfare Hold,08/06/2024 2236,8/6/24,19th Ave S / Riverside Ave,Closed
UM 24-220802,Driving After Revocation,08/06/2024 2242,8/6/24,University Ave  / 12th Ave,Closed
UM 24-220230,Miscellaneous,08/05/2024 1200,8/5/24,301 19th Ave S,Closed
UM 24-219217,Miscellaneous,08/05/2024 1642,8/5/24,1212 4th St ,Closed
UM 24-219574,Driving After Revocation,08/05/2024 2114,8/5/24,Como Ave  / 17th Ave ,Closed
UM 24-219584,Driving After Revocation,08/05/2024 2123,8/5/24,15th Ave  / 5th St ,Closed
UM 24-217766,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,08/04/2024 0154,8/4/24,20th Ave S / Cedar Ave S,Closed
UM 24-218170,Driving After Suspension,08/04/2024 1303,8/4/24,Walnut St  / Washington Ave,Closed
UM 24-218279,Driving After Revocation,08/04/2024 1502,8/4/24,University Ave  / 17th Ave,Closed
UM 24-217067,Recovered Property,08/03/2024 1514,8/3/24,19th Ave S / 3rd St S,Closed
UM 24-217144,Terroristic Threats / Warrant,08/03/2024 1633,8/3/24,306 10th Ave ,
UM 24-217237,Non-Vehicular Accident,08/03/2024 1739,8/3/24,2009 University Ave ,Closed
UM 24-217338,Bike Theft,08/03/2024 1430,8/3/24,89 Church St ,Inactive
UM 24-217617,No Proof of Insurance / Driving After Revocation,08/03/2024 2311,8/3/24,Esx St  / Huron Blvd ,Closed
UM 24-215357,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/01/2024 2300,8/2/24,21 11th Ave ,Inactive
UM 24-215542,Bike Theft,07/25/2024 1400,8/2/24,505 Washington Ave ,Inactive
UM 24-216319,No Valid Driver's Licen,08/02/2024 2246,8/2/24,2001 University Ave ,Closed
UM 24-215121,Assault,08/02/2024 0044,8/2/24,418 13th Ave ,
UM 24-215677,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,08/01/2024 0635,8/2/24,501 Washington Ave ,Inactive
UM 24-215439,Recovered Property,08/01/2024 1855,8/1/24,321 19th Ave S,Closed
UM 24-214222,Warrant / U of Force,08/01/2024 0815,8/1/24,2700 University Ave ,Arrest
UM 24-214253,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,08/01/2024 0904,8/1/24,Oak St  / 4th St ,Closed
UM 24-214040,Miscellaneous,07/31/2024 2332,8/1/24,315 29th Ave ,Closed
UM 24-213036,Trespass,07/31/2024 0813,7/31/24,327 14th Ave ,Closed
UM 24-213094,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,07/31/2024 0915,7/31/24,505 Washington Ave ,Closed
UM 24-213299,Trespass,07/31/2024 1256,7/31/24,123 Harvard St ,
UM 24-213482,Miscellaneous,07/31/2024 1506,7/31/24,1801 Dudley Ave,
MP 24-710300,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,7/29/24 11:30,7/31/24,10th Ave  & University Ave,Reported
MP 24-710234,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,7/28/24 18:00,7/31/24,1023 University Ave ,Reported
UM 24-212354,Bike Theft,07/30/2024 1503,7/30/24,231 Pillsbury Dr ,Closed
UM 24-212750,Miscellaneous,07/30/2024 1645,7/30/24,500 Harvard Ave ,Closed
UM 24-211960,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,07/26/2024 1130,7/30/24,319 14th Ave ,Inactive
UM 24-212077,Criminal xual Conduct-Molest,07/28/2024 1155,7/30/24,1040 27th Ave ,
UM 24-212805,Driving After Revocation,07/30/2024 2233,7/30/24,University Ave  / 16th Ave,Closed
UM 24-211639,Driving While Intoxicated / Open Bottle / Driving After Suspension,07/29/2024 2230,7/30/24,University Ave  / 35W Northbound on Ramp,
UM 24-210721,Open Bottle in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,07/29/2024 0817,7/29/24,621 Ontario St ,Closed
UM 24-210770,Trespass,07/29/2024 0910,7/29/24,421 Washington Ave ,Closed
UM 24-210771,Theft,07/22/2024 1900,7/29/24,401 Oak St ,Closed
UM 24-211205,Bike Theft,07/29/2024 1450,7/29/24,1988 Fitch Ave,
UM 24-211254,Warrant,07/29/2024 1630,7/29/24,501 Washington Ave ,Arrest
UM 24-211499,Fal Name or Info / Warrant,07/29/2024 2008,7/29/24,225 Pleasant St ,Arrest
UM 24-210645,Crisis Intervention / Health Welfare Hold,07/29/2024 0456,7/29/24,317 17th Ave ,Closed
UM 24-209259,Warrant,07/27/2024 2222,7/28/24,4th St  / 15th Ave ,Arrest
UM 24-209446,Health Welfare Hold / Crisis Intervention,07/28/2024 0046,7/28/24,615 Fulton St ,Closed
UM 24-209798,Theft,07/27/2024 2100,7/28/24,401 Oak St ,Inactive
UM 24-208962,Stolen Property Offen / Warrant / Recovered Vehicle,07/27/2024 1730,7/27/24,5th St  / 15th Ave ,Jurisdiction Transfer
UM 24-208301,Driving Aafter Suspension / No Proof of Insurance,07/27/2024 0228,7/27/24,4th St  / Oak St ,Closed
UM 24-208452,Recovered Property,07/27/2024 0814,7/27/24,2428 Delaware St ,Closed
UM 24-208678,Bike Theft,07/27/2024 1128,7/27/24,1158 Fifield Ave,
UM 24-208743,Crisis Intervention,07/27/2024 1357,7/27/24,414 Erie St ,Closed
UM 24-208801,Trespass,07/27/2024 1450,7/27/24,301 19th Ave S,Closed
UM 24-209187,Miscellaneous,07/27/2024 2058,7/27/24,1258 Gibbs Ave,Closed
UM 24-207398,Trespass / Warrant,07/26/2024 1157,7/26/24,701 Fulton St ,Closed
UM 24-207672,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,07/26/2024 1259,7/26/24,2001 Bloomington Ave,
UM 24-207721,Flee Police in Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,07/26/2024 1656,7/26/24,Como Ave  / 29th Ave ,
UM 24-207974,Trespass,07/26/2024 2006,7/26/24,300 19th Ave S,Closed
UM 24-206884,Driving After Revocation,07/25/2024 2234,7/26/24,4th St  / 8th Ave ,Closed
UM 24-206913,Theft,07/25/2024 2302,7/26/24,701 Fulton St ,Closed
UM 24-206134,Other Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Theft / Posssion of Burglary Tools,07/25/2024 0700,7/25/24,123 Harvard St ,
UM 24-205900,Driving After Cancellation / No Insurance On,07/25/2024 0025,7/25/24,East River Pkwy / Delaware St,Closed
UM 24-206107,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,07/25/2024 0902,7/25/24,Church St  / Pillsbury Dr ,Closed
UM 24-206764,No Proof of Insurance,07/25/2024 2009,7/25/24,Delaware St  / Oak St ,Closed
UM 24-206814,Driving After Revocation / No Proof of Insurance,07/25/2024 2109,7/25/24,19th Ave S / 2nd St S,Closed
UM 24-206838,Miscellaneous,07/25/2024 2141,7/25/24,421 Washington Ave ,Closed
UM 24-205951,Driving While Intoxicated,07/25/2024 0200,7/25/24,27th Ave  / Yale Ave ,
UM 24-205080,Auto Theft,07/24/2024 0216,7/24/24,1030 27th Ave ,
UM 24-205573,Warrant,07/24/2024 1750,7/24/24,501 30th Ave ,Arrest
UM 24-205066,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,07/24/2024 1002,7/24/24,2829 University Ave ,
UM 24-205207,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,07/24/2024 0715,7/24/24,1926 University Ave ,Inactive
UM 24-205285,Bike Theft,07/22/2024 1400,7/24/24,1900 University Ave ,
UM 24-205477,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Damage Report,07/23/2024 1500,7/24/24,Delaware St  / Oak St ,
UM 24-205518,Miscellaneous,07/24/2024 1127,7/24/24,516 Delaware St ,Closed
UM 24-205565,Bike Theft,07/24/2024 0930,7/24/24,300 Washington Ave ,
UM 24-205765,Health Welfare Hold,07/24/2024 2112,7/24/24,Beacon St  / Oak St ,Closed
UM 24-204721,Recovered Property,07/23/2024 2251,7/24/24,1926 University Ave ,Inactive
UM 24-203903,Assault,07/23/2024 0908,7/23/24,2001 Bloomington Ave S,Closed
UM 24-204058,Fail to Stop / No Valid DL / No Insurance on Motor Vehicle Accident Injury Report,07/23/2024 1218,7/23/24,University Ave  / NB I35W to 4th St ,Inactive
UM 24-204233,Damage to Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,07/23/2024 1520,7/23/24,2120 5th St S,Inactive
UM 24-203606,Driving After Suspension,07/22/2024 2225,7/23/24,15th Ave  / Como Ave ,Closed
UM 24-203727,Theft from Fail to Stop / No Valid DL / No Insurance on Motor Vehicle,07/22/2024 1445,7/23/24,501 Washington Ave ,
UM 24-202762,Trespass,07/22/2024 0758,7/22/24,Union St  / Beacon St ,Closed
